drug_ugmL,recovery,method
0.01,0.95,panda
0.011536243922876147,0.948965593538613,panda
0.013308492384809684,0.9479311863534019,panda
0.01535300143969042,0.9468967791681908,panda
0.017711596955653736,0.9458623719829798,panda
0.020432530274409208,0.9448279647977688,panda
0.02357146532071361,0.9437935576125577,panda
0.027192617355936824,0.9427591504273466,panda
0.03137006667195227,0.9417247432421355,panda
0.03618927410045289,0.9406903360569244,panda
0.04174882934146488,0.9396559288717135,panda
0.048162467877766756,0.9386215216865024,panda
0.05556139773656044,0.9375871145012913,panda
0.06409698369849,0.9365527073160802,panda
0.07394384386663967,0.9355183001308691,panda
0.08530342194406246,0.934483892945658,panda
0.09840810830027302,0.9334494857604471,panda
0.11352599413407624,0.932415078575236,panda
0.130966355991771,0.9313806713900249,panda
0.15108598284113026,0.9303462642048138,panda
0.17429647513827587,0.9293118570196027,panda
0.20107266520926684,0.9282774498343916,panda
0.2319623312076915,0.9272430426491806,panda
0.2675974033730915,0.9262086354639696,panda
0.3087068918440264,0.9251742282787585,panda
0.35613180049856336,0.9241398210935474,panda
0.4108423319244492,0.9231054139083363,panda
0.4739577354923692,0.9220710067231253,panda
0.5467692045773984,0.9210365995379142,panda
0.6307662913521838,0.9200021923527032,panda
0.7276673795366755,0.9189677851674921,panda
0.8394548385055184,0.917933377982281,panda
0.9684155779238265,0.91689897079707,panda
1.1171878325642335,0.9158645636118589,panda
1.2888151344130314,0.9148301564266478,panda
1.4868085762083136,0.9137957492414368,panda
1.7152186401763296,0.9127613420562257,panda
1.9787180614138071,0.9117269348710146,panda
2.2826974211070303,0.9106925276858036,panda
2.6333754252011032,0.9096581205005925,panda
3.037926124562762,0.9086237133153814,panda
3.504625679263385,0.9075893061301703,panda
4.043021669435791,0.9065548989449593,panda
4.664128416408523,0.9055204917597482,panda
5.380652309930676,0.9044860845745372,panda
6.207251751154727,0.9034516773893261,panda
7.160837029202104,0.902417270204115,panda
8.260916266083926,0.9013828630189039,panda
9.529994507199941,0.9003484558336929,panda
10.994034121872838,0.8988223505946576,panda
12.682985932634852,0.8970464680865912,panda
14.631401938928247,0.8952705855785248,panda
16.879142170111926,0.8934947030704583,panda
19.472190128331622,0.8917188205623919,panda
22.463593503305457,0.8899429380543254,panda
25.91454940384677,0.888167055546259,panda
29.895656307420097,0.8863911730381926,panda
34.488358339686904,0.8846152905301261,panda
39.7866114306188,0.8828394080220597,panda
45.898805432831075,0.8810635255139933,panda
52.94998152417722,0.8775189374228954,panda
61.08439025746937,0.8713337301900659,panda
70.4684425890326,0.8651485229572363,panda
81.2941142572274,0.8589633157244069,panda
93.78287315655388,0.8527781084915773,panda
108.19021005221592,0.844321502097954,panda
124.81086532295697,0.8340128233766457,panda
143.98485865908756,0.8237041446553376,panda
166.104445069208,0.8133954659340294,panda
191.62213949923657,0.8030867872127213,panda
221.0599742286593,0.7891671627371685,panda
255.02017842865286,0.7737041446552758,panda
294.1974983608337,0.7582411265733833,panda
339.3934102590533,0.7427781084914907,panda
391.5325166565215,0.7273150904095981,panda
451.68146158872,0.7118520723277055,panda
521.0707516328688,0.696389054245813,panda
601.1199291913189,0.6809260361639204,panda
693.4666130053092,0.6654630180820278,panda
800.0000000000003,0.6500000000001352,panda
